公司,经营地区,联系人,电话,固话,入驻团膳/年,团膳等级,承包食堂,ISO22000,ISO9001,中央厨房,投保,上市公司,公司官网
上海一片天餐饮管理股份有限公司,欢迎来电洽谈业务合作，上海、长三角、全国。,周剑,13310079008、13310079008、13862675723,,8,100,团膳专家,是,是,是,是,是,https://www.tansent.com/tscom/zt/20137/51571/
南京百分百餐饮管理服务有限公司,江苏省南京市,葛伟亮,18805188989,,7,35,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/20145/59339/
芜湖市国强餐饮管理有限公司,安徽 浙江 江苏 上海,关陈华,13909636005,0553-5803577,3,46,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/20178/101202/
深圳市港台餐饮管理集团有限公司,广东省深圳市,黎小琴,,,8,80,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/201212/39308/
北京金百禾餐饮管理有限公司,北京市市辖区,田先生,,,7,60,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/20144/58321/
苏州鸿升餐饮管理有限公司,全国,丁先生,18752998599,0512-88819810,6,76,团膳专家,是,是,是,是,否,https://www.tansent.com/tscom/zt/201512/76383/
苏州市蓝天膳食服务有限公司,"全国,欢迎全国各地的朋友来访，洽谈合作.",甘先生,18706203835,,7,168,团膳专家,是,是,是,是,否,https://www.tansent.com/tscom/zt/20144/58229/
深圳市都市嘉餐饮（连锁）实业发展有限公司,珠三角、湖南、湖北,蒋先生,,,9,300,团膳专家,否,否,否,是,否,https://web.tansent.com/54857/
南昌市梦圆春餐饮管理有限公司,江西省,申先生,13879158931,,6,保密,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/20149/62055/
芜湖好日子餐饮服务管理有限公司,安徽省,翟光东,13805534486,,11,80,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/201010/3118/
深圳市誉兴饮食管理有限公司,全国36家分公司,海翔,15986667899、15986667899、15807552756,,8,80,团膳专家,是,是,是,是,否,https://web.tansent.com/46711/
南京梅花餐饮管理有限公司,江苏省、安徽省、湖北省、浙江省,任健,,025-84495660,9,60,团膳专家,是,是,是,是,否,https://www.tansent.com/tscom/zt/20152/65198/
西安华胜餐饮管理有限公司,,王先生,15339199958,,8,35,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20138/52417/
陕西上上东餐饮管理有限公司,陕西省 山西省 福建省 吉林省 辽宁省,邸经理,15760973333,,5,25,团膳专家,是,是,否,否,否,https://web.tansent.com/87638/
西安交大康桥饮食有限公司,西北地区,刘先生,13186155286,,6,60,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/201511/74803/
上海冠滋餐饮管理有限公司,上海和长三角，欢迎来电洽谈，谢谢！,王先生,13761771680,,6,67,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/201512/75732/
苏州放牛郎餐饮管理有限公司,江苏、浙江、安徽、上海及周边地区,孙先生,17601289179,,7,保密,团膳专家,是,是,否,是,否,https://www.tansent.com/tscom/zt/20146/59382/
青岛美佳美餐饮有限公司,山东省，青岛市,杨先生,17669626888、17669626888、13165021555,,13,60,团膳专家,是,是,是,是,是,https://web.tansent.com/117724/
苏州喜盈盈餐饮管理有限公司,全国,丁先生,15862570518,,6,50,团膳专家,是,是,否,是,否,https://web.tansent.com/65092/
北京东贸国际餐饮管理有限公司,北京市市辖区,王先生,,,13,80,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/200811/1284/
南京立康餐饮管理有限公司,南京市江宁开发区铺岗街383号,吴先生,13770513222,,4,50,团膳专家,是,是,是,否,否,https://www.tansent.com/tscom/zt/201711/106224/
石家庄食净餐饮企业管理有限公司.,全国,15830663363,13333383335,,7,50,团膳专家,是,是,否,否,否,https://www.tansent.com/tscom/zt/20178/102509/
上海笨小厨餐饮管理（集团）有限公司,,张学军,17326192711,,2,保密,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20192/125520/
昆山津立源餐饮管理有限公司,全国,徐敏,13812889830,,2,保密,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20193/127626/
浙江中鲜餐饮管理有限公司,江浙沪全国,侯先生,18550419988,,1,16,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20202/142591/
